time_local_start,survey_type
2020-01-18 22:24:00,borehole-borehole
2020-01-19 03:04:00,borehole-borehole
2020-01-19 07:55:00,borehole-borehole
2020-01-19 10:14:00,borehole-borehole
2020-01-19 12:43:00,borehole-borehole
2020-01-19 17:30:00,borehole-borehole
2020-01-19 22:11:00,borehole-borehole
2020-01-20 00:55:00,borehole-borehole
2020-01-20 22:00:00,borehole-borehole
2020-01-20 22:23:00,borehole-borehole
2020-01-21 01:00:00,borehole-borehole
2020-01-21 03:23:00,borehole-borehole
2020-01-21 04:39:00,borehole-borehole
2020-01-21 06:22:00,borehole-borehole
2020-01-21 10:47:00,borehole-borehole
2020-01-21 15:13:00,borehole-borehole
2020-01-21 17:38:00,borehole-borehole
2020-01-21 22:00:00,borehole-borehole
2020-01-21 22:23:00,borehole-borehole
2020-01-22 02:53:00,borehole-borehole
2020-01-22 07:34:00,borehole-borehole
2020-01-22 09:42:00,borehole-borehole
2020-01-22 10:33:00,borehole-borehole
2020-01-22 11:03:00,borehole-borehole
2020-01-22 15:46:00,borehole-borehole
2020-01-22 20:57:00,borehole-borehole
2020-01-22 23:23:00,borehole-borehole
2020-01-23 02:04:00,borehole-borehole
2020-01-23 07:34:00,borehole-borehole
2020-01-23 11:03:00,borehole-borehole
2020-01-24 09:37:00,borehole-borehole
2020-01-24 10:48:00,borehole-borehole
2020-01-24 13:17:00,borehole-borehole
2020-01-24 17:09:00,borehole-borehole
2020-01-24 22:00:00,borehole-borehole
2020-01-24 22:24:00,borehole-borehole
2020-01-25 01:01:00,borehole-borehole
2020-01-27 12:12:00,borehole-borehole
2020-01-27 13:27:00,borehole-borehole
2020-01-27 14:37:00,borehole-borehole
2020-01-27 16:54:00,borehole-borehole
2020-01-27 19:07:00,borehole-borehole
2020-01-27 20:31:00,borehole-borehole
2020-01-27 22:00:00,borehole-borehole
2020-01-27 22:24:00,borehole-borehole
2020-01-28 00:59:00,borehole-borehole
2020-01-28 03:22:00,borehole-borehole
2020-01-28 04:34:00,borehole-borehole
2020-01-28 05:46:00,borehole-borehole
2020-01-28 12:12:00,borehole-borehole
2020-01-28 17:36:00,borehole-borehole
2020-01-29 15:06:00,borehole-borehole
2020-01-29 22:00:00,borehole-borehole
2020-01-29 22:24:00,borehole-borehole
2020-01-30 00:59:00,borehole-borehole
2020-01-30 03:22:00,borehole-borehole
2020-01-30 04:34:00,borehole-borehole
2020-01-30 05:45:00,borehole-borehole
2020-01-31 10:24:00,borehole-borehole
2020-01-31 12:34:00,borehole-borehole
2020-01-31 13:58:00,borehole-borehole
2020-01-31 22:00:00,borehole-borehole
2020-01-31 22:24:00,borehole-borehole
2020-02-01 00:59:00,borehole-borehole
2020-02-01 03:21:00,borehole-borehole
2020-02-01 04:33:00,borehole-borehole
2020-02-03 09:45:00,borehole-borehole
2020-02-03 11:59:00,borehole-borehole
2020-02-03 14:09:00,borehole-borehole
2020-02-03 15:29:00,borehole-borehole
2020-02-03 22:00:00,borehole-borehole
2020-02-03 22:23:00,borehole-borehole
2020-02-04 00:56:00,borehole-borehole
2020-02-04 03:19:00,borehole-borehole
2020-02-04 04:32:00,borehole-borehole
2020-02-04 05:44:00,borehole-borehole
2020-02-04 08:02:00,borehole-borehole
2020-02-04 10:16:00,borehole-borehole
2020-02-04 13:17:00,borehole-borehole
2020-02-05 09:44:00,borehole-borehole
2020-02-05 12:18:00,borehole-borehole
2020-02-05 14:40:00,borehole-borehole
2020-02-05 15:51:00,borehole-borehole
2020-02-05 16:02:00,borehole-borehole
2020-02-05 16:26:00,borehole-borehole
2020-02-05 16:27:00,borehole-borehole
2020-02-05 16:38:00,borehole-borehole
2020-02-10 17:25:00,borehole-borehole
2020-02-10 17:49:00,borehole-borehole
2020-02-10 20:18:00,borehole-borehole
2020-02-10 22:37:00,borehole-borehole
2020-02-10 23:52:00,borehole-borehole
2020-02-11 01:02:00,borehole-borehole
2020-02-11 03:16:00,borehole-borehole
2020-02-11 05:25:00,borehole-borehole
